target,model,horizon,subset,n,RMSE,MAE,R2
F1,persistence,1,all,3543,0.00598,0.00421,0.8231
F1,f_reg_only,1,all,3543,0.0149,0.01261,-0.0964
F1,dec_resid,1,all,3543,0.00568,0.00403,0.8404
F1,dec_ewma,1,all,3543,0.00887,0.00663,0.6113
F1,persistence,6,all,3514,0.01412,0.01039,0.0023
F1,f_reg_only,6,all,3514,0.01483,0.01258,-0.1005
F1,dec_resid,6,all,3514,0.01083,0.00804,0.4131
F1,dec_ewma,6,all,3514,0.00957,0.00719,0.5413
F1,persistence,24,all,3424,0.01158,0.00852,0.3154
F1,persistence,24,steady,2806,0.01144,0.00838,0.3454
F1,persistence,24,transient,618,0.01218,0.00916,0.1331
F1,f_reg_only,24,all,3424,0.01484,0.01257,-0.1238
F1,f_reg_only,24,steady,2806,0.01492,0.01266,-0.1134
F1,f_reg_only,24,transient,618,0.01444,0.01216,-0.2173
F1,dec_resid,24,all,3424,0.01095,0.00784,0.3879
F1,dec_resid,24,steady,2806,0.01081,0.0077,0.4161
F1,dec_resid,24,transient,618,0.01157,0.00846,0.2175
F1,dec_ewma,24,all,3424,0.01021,0.00765,0.4678
F1,dec_ewma,24,steady,2806,0.01027,0.00765,0.473
F1,dec_ewma,24,transient,618,0.00995,0.00766,0.4217
F1,persistence,72,all,3184,0.01489,0.01105,-0.1888
F1,persistence,72,steady,2611,0.01493,0.01102,-0.1602
F1,persistence,72,transient,573,0.0147,0.01117,-0.3839
F1,f_reg_only,72,all,3184,0.01473,0.01242,-0.1648
F1,f_reg_only,72,steady,2611,0.01485,0.01254,-0.1481
F1,f_reg_only,72,transient,573,0.0142,0.01191,-0.2918
F1,dec_resid,72,all,3184,0.01359,0.0098,0.0096
F1,dec_resid,72,steady,2611,0.01361,0.0097,0.0348
F1,dec_resid,72,transient,573,0.01346,0.01022,-0.1608
F1,dec_ewma,72,all,3184,0.01155,0.00849,0.2842
F1,dec_ewma,72,steady,2611,0.01166,0.00854,0.2922
F1,dec_ewma,72,transient,573,0.01105,0.00828,0.2188
