time,F1,Pa,Pr,Td,Tg,Tst,Tcnd1,Tcnd2,Tgpz_a,Tgpz_b,Tgpz_v,Tgpz_g,Tturb_a,Tturb_b,Tturb_v,Tturb_g,Fr,seg,dPa,transient,resid_prism
2015-03-04 10:00:00,19.365765,21.40983,47.183891,29.63998,27.088711,39.407784,20.41,21.704,310.254,307.544,309.229,306.592,331.714,338.599,353.247,350.098,50.005337,1,,,
2015-03-04 11:00:00,19.37027,26.114325,47.231182,29.187225,27.274363,38.987118,20.068,20.972,366.138,367.822,366.431,367.822,408.911,411.182,420.63,415.796,50.000858,1,4.704495000000001,False,
2015-03-04 12:00:00,19.364262,31.575901,41.749947,29.57938,27.58353,39.379009,19.287,20.19,422.461,422.827,422.9,423.999,479.077,480.835,491.821,481.494,49.998436,1,5.461576000000001,False,
2015-03-04 13:00:00,19.323456,64.192474,40.583118,29.669493,26.473692,38.885593,16.26,17.334,475.269,475.928,476.147,476.88,541.04,533.643,516.797,518.115,49.998596,1,32.616573,True,
2015-03-04 14:00:00,19.282652,96.809036,39.41629,29.759605,25.363853,38.392178,11.499,14.063,500.171,499.658,507.642,497.388,548.364,546.973,526.978,533.643,49.998753,1,32.616562,True,
2015-03-04 16:00:00,19.301928,173.311478,31.954891,34.002686,25.217112,39.464024,9.497,14.551,539.355,540.381,536.426,538.989,535.767,539.941,545.874,541.992,50.000767,2,,,
2015-03-04 17:00:00,19.31432,229.197662,32.810715,34.883118,28.229414,43.772232,14.624,21.045,539.575,538.257,533.423,542.578,547.705,552.173,549.902,553.857,49.998695,2,55.886184000000014,True,
2015-03-04 18:00:00,19.32671,285.083832,33.666534,35.76355,31.241716,48.080444,21.851,22.583,538.037,538.184,535.474,541.699,537.671,545.801,536.865,539.648,49.996624,2,55.886169999999964,True,
2015-03-04 19:00:00,19.327461,285.477966,43.605659,35.949924,31.015886,49.022129,21.289,21.924,539.648,541.479,543.164,541.992,545.435,548.584,546.68,540.015,49.99604,2,0.3941340000000082,False,
2015-03-04 20:00:00,19.329716,285.607544,39.363705,36.011177,31.076921,49.187141,21.24,21.948,541.113,543.164,541.26,544.116,546.826,549.243,548.291,541.113,49.993298,2,0.12957800000003772,False,
2015-03-04 21:00:00,19.331968,285.737152,35.12175,36.07243,31.137957,49.352154,21.216,21.875,539.502,540.234,539.868,544.629,545.947,549.097,547.925,540.527,49.990555,2,0.12960799999996198,False,
2015-03-04 22:00:00,19.337225,282.443695,54.407402,36.37281,31.504604,49.479458,21.24,21.948,540.308,542.871,543.384,542.871,548.511,550.708,549.902,541.992,49.997929,2,-3.2934569999999894,False,
2015-03-04 23:00:00,19.332718,180.844574,37.74947,33.486286,30.063738,45.591084,8.96,12.598,542.285,542.798,544.629,545.361,538.989,544.482,538.33,533.203,50.006577,2,-101.599121,True,
2015-03-05 00:00:00,19.328213,134.883896,42.933529,34.967449,29.925673,43.549263,8.838,12.036,540.747,541.333,543.164,542.578,546.753,553.271,546.24,542.871,50.007732,2,-45.960678,True,
2015-03-05 01:00:00,19.323708,135.364639,44.178322,35.377285,29.978289,43.614414,8.911,12.085,544.409,544.922,544.116,545.215,547.485,554.077,546.899,542.944,49.997715,2,0.48074300000001813,False,
2015-03-05 02:00:00,19.316196,135.26712,41.761726,35.312542,29.925537,43.556431,8.838,12.012,542.651,544.995,544.189,544.995,546.606,552.686,546.753,543.164,49.997532,2,-0.09751900000000546,False,
2015-03-05 03:00:00,19.319952,134.996918,36.969307,35.148186,29.851858,43.436977,8.765,11.963,542.944,544.556,543.896,544.702,546.167,553.271,546.826,543.53,49.999203,2,-0.2702020000000118,False,
2015-03-05 04:00:00,19.318449,135.086548,36.702003,35.053581,29.802158,43.37289,8.838,12.036,543.604,544.629,544.189,543.53,547.192,553.711,547.778,544.336,49.99913,2,0.08962999999999965,False,
2015-03-05 05:00:00,19.316948,135.065277,37.791149,35.039192,29.79344,43.366352,8.691,11.963,543.97,543.75,543.604,545.215,546.46,552.979,547.266,543.896,50.000183,2,-0.021270999999984497,False,
2015-03-05 06:00:00,19.313944,137.886673,38.700886,35.066658,29.784719,43.402973,8.936,12.085,540.161,543.311,543.018,545.288,545.142,551.514,547.925,543.53,49.995461,2,2.821395999999993,False,
2015-03-05 07:00:00,19.312441,221.519791,51.153561,34.197124,31.165859,45.81604,18.481,19.482,539.868,542.725,543.823,545.215,542.871,546.46,548.511,541.553,50.000145,2,83.633118,True,
2015-03-05 08:00:00,19.317699,276.531464,92.16684,35.310581,32.624165,50.253296,21.216,21.948,541.406,542.139,540.82,542.798,547.632,550.122,548.95,541.772,50.000908,2,55.01167300000003,True,
2015-03-05 09:00:00,19.320702,285.436829,114.544144,36.897713,33.557129,52.520317,21.167,21.973,542.285,543.604,543.75,545.288,549.316,551.294,550.342,542.871,49.997421,2,8.90536499999996,False,
