sigma,detector,kind,magnitude,power,median_delay_h
0.0118,cusum,creep,-0.0005,0.04285714285714286,839.0
0.0118,ewma,creep,-0.0005,0.0,
0.0118,cusum,creep,-0.001,0.2857142857142857,1145.5
0.0118,ewma,creep,-0.001,0.0,
0.0118,cusum,creep,-0.002,0.7285714285714285,1142.0
0.0118,ewma,creep,-0.002,0.18571428571428572,1080.0
0.0118,cusum,creep,-0.005,1.0,674.0
0.0118,ewma,creep,-0.005,0.9714285714285714,874.0
0.0118,cusum,step,-0.005,0.21428571428571427,1044.0
0.0118,ewma,step,-0.005,0.014285714285714285,5.0
0.0118,cusum,step,-0.01,1.0,688.0
0.0118,ewma,step,-0.01,0.15714285714285714,586.0
0.0118,cusum,step,-0.015,1.0,320.0
0.0118,ewma,step,-0.015,0.42857142857142855,322.0
0.008,cusum,creep,-0.0005,0.11428571428571428,942.0
0.008,ewma,creep,-0.0005,0.0,
0.008,cusum,creep,-0.001,0.4142857142857143,1097.0
0.008,ewma,creep,-0.001,0.08571428571428572,938.5
0.008,cusum,creep,-0.002,1.0,924.5
0.008,ewma,creep,-0.002,0.5428571428571428,1163.0
0.008,cusum,creep,-0.005,1.0,531.5
0.008,ewma,creep,-0.005,1.0,629.0
0.008,cusum,step,-0.005,0.5571428571428572,719.0
0.008,ewma,step,-0.005,0.07142857142857142,691.0
0.008,cusum,step,-0.01,1.0,327.5
0.008,ewma,step,-0.01,0.4142857142857143,356.0
0.008,cusum,step,-0.015,1.0,180.0
0.008,ewma,step,-0.015,0.9285714285714286,134.0
0.005,cusum,creep,-0.0005,0.3,1094.0
0.005,ewma,creep,-0.0005,0.0,
0.005,cusum,creep,-0.001,0.8142857142857143,1066.0
0.005,ewma,creep,-0.001,0.24285714285714285,1150.0
0.005,cusum,creep,-0.002,1.0,712.5
0.005,ewma,creep,-0.002,0.9285714285714286,911.0
0.005,cusum,creep,-0.005,1.0,363.5
0.005,ewma,creep,-0.005,1.0,441.0
0.005,cusum,step,-0.005,1.0,492.5
0.005,ewma,step,-0.005,0.2571428571428571,444.5
0.005,cusum,step,-0.01,1.0,165.0
0.005,ewma,step,-0.01,1.0,100.0
0.005,cusum,step,-0.015,1.0,100.0
0.005,ewma,step,-0.015,1.0,5.0
0.003,cusum,creep,-0.0005,0.7142857142857143,1142.5
0.003,ewma,creep,-0.0005,0.18571428571428572,1082.0
0.003,cusum,creep,-0.001,1.0,790.5
0.003,ewma,creep,-0.001,0.8142857142857143,1041.0
0.003,cusum,creep,-0.002,1.0,517.0
0.003,ewma,creep,-0.002,1.0,606.0
0.003,cusum,creep,-0.005,1.0,267.0
0.003,ewma,creep,-0.005,1.0,271.0
0.003,cusum,step,-0.005,1.0,210.0
0.003,ewma,step,-0.005,0.8428571428571429,230.0
0.003,cusum,step,-0.01,1.0,89.0
0.003,ewma,step,-0.01,1.0,5.0
0.003,cusum,step,-0.015,1.0,58.5
0.003,ewma,step,-0.015,1.0,5.0
