kind,magnitude,start,detector,delay_h,detected
creep,-0.0005,2015-03-04,cusum,,False
creep,-0.0005,2015-03-04,ewma,,False
creep,-0.0005,2015-03-07,cusum,,False
creep,-0.0005,2015-03-07,ewma,,False
creep,-0.0005,2015-03-10,cusum,,False
creep,-0.0005,2015-03-10,ewma,,False
creep,-0.0005,2015-03-13,cusum,,False
creep,-0.0005,2015-03-13,ewma,,False
creep,-0.0005,2015-03-16,cusum,,False
creep,-0.0005,2015-03-16,ewma,,False
creep,-0.0005,2015-03-19,cusum,,False
creep,-0.0005,2015-03-19,ewma,,False
creep,-0.0005,2015-03-22,cusum,,False
creep,-0.0005,2015-03-22,ewma,,False
creep,-0.0005,2015-03-25,cusum,,False
creep,-0.0005,2015-03-25,ewma,,False
creep,-0.0005,2015-03-28,cusum,,False
creep,-0.0005,2015-03-28,ewma,,False
creep,-0.0005,2015-03-31,cusum,,False
creep,-0.0005,2015-03-31,ewma,,False
creep,-0.0005,2015-04-03,cusum,,False
creep,-0.0005,2015-04-03,ewma,,False
creep,-0.0005,2015-04-06,cusum,,False
creep,-0.0005,2015-04-06,ewma,,False
creep,-0.0005,2015-04-09,cusum,,False
creep,-0.0005,2015-04-09,ewma,,False
creep,-0.0005,2015-04-12,cusum,,False
creep,-0.0005,2015-04-12,ewma,,False
creep,-0.0005,2015-04-15,cusum,,False
creep,-0.0005,2015-04-15,ewma,,False
creep,-0.0005,2015-04-18,cusum,,False
creep,-0.0005,2015-04-18,ewma,,False
creep,-0.0005,2015-09-18,cusum,,False
creep,-0.0005,2015-09-18,ewma,,False
creep,-0.0005,2015-09-21,cusum,,False
creep,-0.0005,2015-09-21,ewma,,False
creep,-0.0005,2015-09-24,cusum,,False
creep,-0.0005,2015-09-24,ewma,,False
creep,-0.0005,2015-09-27,cusum,,False
creep,-0.0005,2015-09-27,ewma,,False
creep,-0.0005,2015-09-30,cusum,,False
creep,-0.0005,2015-09-30,ewma,,False
creep,-0.0005,2015-10-03,cusum,,False
creep,-0.0005,2015-10-03,ewma,,False
creep,-0.0005,2015-10-06,cusum,,False
creep,-0.0005,2015-10-06,ewma,,False
creep,-0.0005,2015-10-09,cusum,,False
creep,-0.0005,2015-10-09,ewma,,False
creep,-0.0005,2015-10-12,cusum,,False
creep,-0.0005,2015-10-12,ewma,,False
creep,-0.0005,2015-10-15,cusum,,False
creep,-0.0005,2015-10-15,ewma,,False
creep,-0.0005,2015-10-18,cusum,,False
creep,-0.0005,2015-10-18,ewma,,False
creep,-0.0005,2015-10-21,cusum,,False
creep,-0.0005,2015-10-21,ewma,,False
creep,-0.0005,2015-10-24,cusum,915.0,True
creep,-0.0005,2015-10-24,ewma,,False
creep,-0.0005,2015-10-27,cusum,839.0,True
creep,-0.0005,2015-10-27,ewma,,False
creep,-0.0005,2015-10-30,cusum,769.0,True
creep,-0.0005,2015-10-30,ewma,,False
creep,-0.0005,2015-11-02,cusum,,False
creep,-0.0005,2015-11-02,ewma,,False
creep,-0.0005,2015-11-05,cusum,,False
