detector,h_factor,FA,power
cusum,0.05,0.5285714285714286,0.9428571428571428
cusum,0.13448275862068965,0.24285714285714285,0.6142857142857143
cusum,0.2189655172413793,0.17142857142857143,0.35714285714285715
cusum,0.30344827586206896,0.05714285714285714,0.32857142857142857
cusum,0.3879310344827586,0.0,0.2857142857142857
cusum,0.4724137931034483,0.0,0.07142857142857142
cusum,0.556896551724138,0.0,0.02857142857142857
cusum,0.6413793103448276,0.0,0.0
cusum,0.7258620689655173,0.0,0.0
cusum,0.810344827586207,0.0,0.0
cusum,0.8948275862068966,0.0,0.0
cusum,0.9793103448275863,0.0,0.0
cusum,1.063793103448276,0.0,0.0
cusum,1.1482758620689657,0.0,0.0
cusum,1.2327586206896552,0.0,0.0
cusum,1.3172413793103448,0.0,0.0
cusum,1.4017241379310346,0.0,0.0
cusum,1.4862068965517243,0.0,0.0
cusum,1.5706896551724139,0.0,0.0
cusum,1.6551724137931034,0.0,0.0
cusum,1.7396551724137932,0.0,0.0
cusum,1.824137931034483,0.0,0.0
cusum,1.9086206896551725,0.0,0.0
cusum,1.993103448275862,0.0,0.0
cusum,2.0775862068965516,0.0,0.0
cusum,2.1620689655172414,0.0,0.0
cusum,2.246551724137931,0.0,0.0
cusum,2.3310344827586205,0.0,0.0
cusum,2.4155172413793102,0.0,0.0
cusum,2.5,0.0,0.0
ewma,0.05,1.0,1.0
ewma,0.13448275862068965,1.0,1.0
ewma,0.2189655172413793,0.9285714285714286,1.0
ewma,0.30344827586206896,0.8857142857142857,1.0
ewma,0.3879310344827586,0.8285714285714286,1.0
ewma,0.4724137931034483,0.7714285714285715,0.9857142857142858
ewma,0.556896551724138,0.5714285714285714,0.8285714285714286
ewma,0.6413793103448276,0.4142857142857143,0.7142857142857143
ewma,0.7258620689655173,0.32857142857142857,0.6142857142857143
ewma,0.810344827586207,0.22857142857142856,0.4714285714285714
ewma,0.8948275862068966,0.12857142857142856,0.2571428571428571
ewma,0.9793103448275863,0.1,0.21428571428571427
ewma,1.063793103448276,0.04285714285714286,0.18571428571428572
ewma,1.1482758620689657,0.014285714285714285,0.17142857142857143
ewma,1.2327586206896552,0.014285714285714285,0.08571428571428572
ewma,1.3172413793103448,0.014285714285714285,0.014285714285714285
ewma,1.4017241379310346,0.0,0.0
ewma,1.4862068965517243,0.0,0.0
ewma,1.5706896551724139,0.0,0.0
ewma,1.6551724137931034,0.0,0.0
ewma,1.7396551724137932,0.0,0.0
ewma,1.824137931034483,0.0,0.0
ewma,1.9086206896551725,0.0,0.0
ewma,1.993103448275862,0.0,0.0
ewma,2.0775862068965516,0.0,0.0
ewma,2.1620689655172414,0.0,0.0
ewma,2.246551724137931,0.0,0.0
ewma,2.3310344827586205,0.0,0.0
ewma,2.4155172413793102,0.0,0.0
ewma,2.5,0.0,0.0
